id,caption,schema,taxNumber,innCode,russian_alias_1,russian_alias_2,russian_alias_3,russian_alias_4,russian_alias_5,russian_alias_6,russian_alias_7,russian_alias_8,russian_alias_9,russian_alias_10,russian_alias_11,russian_alias_12,russian_alias_13,russian_alias_14,russian_alias_15,russian_alias_16,russian_alias_17,russian_alias_18,russian_alias_19,russian_alias_20,russian_alias_21,russian_alias_22,russian_alias_23,russian_alias_24
NK-CHh3AuriGRpL2SwtwQAd5c,JOINT STOCK COMPANY STATE MACHINE BUILDING DESIGN BUREAU VYMPEL BY NAME I.I. TOROPOV,Company,7733546058,7733020473,"акционерное общество ""государственное машиностроительное конструкторское бюро ""вымпел"" имени и.и. торопова""","ао ""госмкб ""вымпел"" им. и.и. торопова""","открытое акционерное общество ""государственное машиностоительное конструкторское бюро ""вымпел"" имени и.и. торопова","открытое акционерное общество ""государственное машиностроительное конструкторское бюро ""вымпел"" имени и.и. торопова""",ао “гос мкб ‘вымпел’ им. и.и. торопова”,,,,,,,,,,,,,,,,,,,
NK-k4U7iFiMi7vNw98Mmy2k4F,Joint Stock Company Information Satellite Systems Named After Academician M.F. Reshetnev,Company,2452034898,2452034898,акционерное общество «информационные спутниковые системы» имени академика м. ф. решетнёва»,акционерное общество “информационные спутниковые системы” имени академика м.ф. решетнёва,"акционерное общество ""информационные спутниковые системы"" имени академика м.ф. решетнёва""","открытое акционерное общество ""информационные спутниковые системы"" имени академика м.ф. решетнёва""",акционерное общество “информационные спутниковые системы” имени академика м.ф. решетнёва”,,,,,,,,,,,,,,,,,,,
NK-5AtvsmoNzZZS5ukUx93q37,Public Joint Stock Company Amursky Shipbuilding Plant,Company,2703000015,2703000015,"ооо ""амурский судостроительный завод""",пао амурский судостроительный завод,амурский судостроительный завод,"публичное акционерное общество ""амурский судостроительный завод""","открытое акционерное общество ""амурский судостроительный завод""",,,,,,,,,,,,,,,,,,,
NK-nFCyKHqWLhJs4BReT3dQCq,JSC Research and Production Corporation URALVAGONZAVOD,Company,6623029538,6623029538,"открытое акционерное общество ""научно-производственная корпорация ""уралвагонзавод"" им. ф.э. дзержинского""","открытое акционерное общество ""научно- производственная корпорация ""уралвагонзавод"" имени ф.э.дзержинского","открытое акционерное общество ""научно-производственная корпорация ""уралвагонзавод""имени ф.э. дзержинского""","акционерное общество ""научно-производственная корпорация ""уралвагонзавод"" имени ф.э. дзержинского""","открытое акционерное общество ""научно-производственная корпорация ""уралвагонзавод"" им ф.э. дзержинского",,,,,,,,,,,,,,,,,,,
NK-eCLmsLZxNjosknAhXKfaHh,JSC Automobile Plant URAL,Company,7415029289,7415029289,ао автомобильный завод ‘урал’,"открытое акционерное общество ""автомобильный завод ""урал""",ао автомобильный завод 'урал',"акционерное общество ""автомобильный завод ""урал""",ао автомобильный завод “урал”,,,,,,,,,,,,,,,,,,,
NK-Ux5GqNqwrsFwBJjgahQqLh,JSC KOLOMENSKY ZAVOD,Company,5022013517,5022013517,"акционерное общество ""коломенский завод""","открытое акционерное общество холдинговая компания ""коломенский завод""",ao коломенский завод,открытое акционерное общество холдинговая компания коломенский завод,акционерное общество коломенский завод,,,,,,,,,,,,,,,,,,,
NK-harprEgR5ArRSBaw6Xf8aM,JSC NOVOSIBIRSK AIRCRAFT PRODUCTION ASSOCIATION PLANT NAMED AFTER V.P. CHKALOV,Company,5402112867,5402112867,"акционерное общество ""новосибирский авиаремонтный завод""","акционерное общество открытого типа ""новосибирский авиаремонтный завод""",новосибирский авиационный завод имени в. п. чкалова,"открытое акционерное общество ""новосибирский авиаремонтный завод""",ао новосибирский авиаремонтный завод,,,,,,,,,,,,,,,,,,,
NK-CfeSY97F3G3Qwjyti9jbU8,PUBLIC JOINT STOCK COMPANY CHELYABINSK FORGE AND PRESS PLANT,Company,7449006184,7449006184,"открытое акционерное общество ""челябинский кузнечно-прессовый завод""",публичное акционерное общество “челябинский кузнечно-прессовый завод”,"публичное акционерное общество ""челябинский кузнечнопрессовый завод""",челябинский кузнечно-прессовый завод,"публичное акционерное общество ""челябинский кузнечно-прессовый завод""",,,,,,,,,,,,,,,,,,,
NK-oY6TLcp3B3vvdEwZor9Y3E,OJSC Arsenal Machine-Building Plant,Company,7804040302,7804040302,открытое акционерное общество машиностроительный завод арсенал,"открытое акционерное общество ""машиностроительный завод ""арсенал""",открытое акционерное общество «машиностроительный завод «арсенал»,"машиностроительный завод ""арсенал""",оао “машиностроительный завод ‘арсенал’”,,,,,,,,,,,,,,,,,,,
NK-7hmFi4F2C2fVq6wsRUssEC,Joint Stock Company Nizhny Novgorod Plant of the 70th Anniversary of Victory,Company,5259113339,5259008768,"акционерное общество ""нижегородский завод 70-летия победы""",ао ‘нижегородский завод 70- летия победы’,"ао; акционерное общество ""нижегородский завод 70-летия победы""",нз 70-летия победы,нижегородский завод 70-летия победы,,,,,,,,,,,,,,,,,,,
NK-m8TW9o46qYXyEGD6YAd5eW,Novikombank,Company,7706196340,7706196340,акционерный коммерческий банк новикомбанк,"закрытое акционерное общество акционерный коммерческий банк ""новикомбанк""",акционерный коммерческий банк новикомбанк акционерное общество,"акционерный коммерческий банк ""новикомбанк"" акционерное общество","закрытое акционерное общество акционерный коммерческий банк ""новинкомбанк""",,,,,,,,,,,,,,,,,,,
NK-geyVsJ9B6fZiZwNgpg2sZQ,Federal State Enterprise Aleksinsky Chemical Plant,Company,7111003056,7111003056,"государственное производственное объединение ""алексинский химический комбинат""","федеральное государственное унитарное предприятие ""алексинский химический комбинат""","федеральное казенное предприятие ""алексинский химический комбинат""","гпо ""алексинский химический комбинат""",федеральное казенное предприятие “алексинский химический комбинат”,,,,,,,,,,,,,,,,,,,
NK-Za67XG5UqcV2w2wzscF6dE,Sukhoi Aviation JSC,Company,,7714016680,публичное акционерное общество «авиационная холдинговая компания «сухой»,"акционерное общество ""авиационная холдинговая компания ""сухой""",пао компания “сухой”,"публичное акционерное общество ""авиационная холдинговая компания ""сухой""","открытое акционерное общество ""авиационная холдинговая компания ""сухой""",пао компания „сухой“,,,,,,,,,,,,,,,,,,
NK-2RgKvhQa6p7oUeeCT27wAP,JSC GosNIIP,Company,7717693545,7717693545,государственный научно-исследовательский институт приборостроения,"акционерное общество ""государственный научно-исследовательский институт приборостроения""","открытое акционерное общество ""государственный научно-исследовательский институт приборостроения""","акционерное общество ""государственный научноисследовательский институт приборостроения""",акционерное общество “государственный научно- исследовательский институт приборостроения”,,,,,,,,,,,,,,,,,,,
NK-BuMNcSeoZjVBExkEJTkwUx,Public Joint Stock Company Shipbuilding Plant Severnaya Verf,Company,7805034277,7805034277,публичное акционерное общество судостроительный завод «северная верфь»,"публичное акционерное общество судостроительный завод ""северная верфь""","открытое акционерное общество судостроительный завод ""северная верфь""",пао судостроительный завод северная верфь,,,,,,,,,,,,,,,,,,,,
NK-b7Jxzby6zJx9VcqtupVttk,"EGO-HOLDING ('HOLDING COMPANY ""EGO-HOLDING""')",Company,,7804070635,"эго-холдинг(ооо 'холдинговая компания ""эго-холдинг""')","ооо ""эго-холдинг""",ооо ‘“холдинговая компания “эго-холдинг”’,"общество с ограниченной ответственностью ""холдинговая компания ""эго-холдинг""","общество с ограниченной ответственностью "" холдингова компания "" эро-холдинг """,,,,,,,,,,,,,,,,,,,
NK-8AUsKu2ZR5vmox7UUNQU2R,JSC MZIK,Company,6663003800,6663003800,публичное акционерное общество «машиностроительный завод имени м.и.калинина,"публичное акционерное общество ""машиностроительный завод имени м.и.калинина, г.екатеринбург""","публичное акционерное общество “машиностроительный завод имени м.и. калинина, г. екатеринбург”","публичное акционерное общество ""машиностроительный завод имени м.и.калинина, г. екатеринбург""",,,,,,,,,,,,,,,,,,,,
NK-7qiv6Cc7t7fUUZEpai5S4L,Joint Stock Company Khabarovsk Shipbuilding Yard,Company,2723112662,2723112662,ао хабаровский судостроительный завод,акционерное общество «хабаровский судостроительный завод»,"акционерное общество ""хабаровский судостроительный завод""","открытое акционерное общество ""хабаровский судостроительный завод""",,,,,,,,,,,,,,,,,,,,
NK-XHzGLd6YxmHVEUvG3MiMsx,Federal State Enterprise Tambov Powder Plant,Company,6825000757,6825000757,"фкп “тпз”, федеральное казенное предприятие “тамбовский пороховой завод”","федеральное казенное предприятие ""тамбовский пороховой завод""",федеральное казенное предприятие “тамбовский пороховой завод”,федеральное казенное предприятие тамбовский пороховой завод,,,,,,,,,,,,,,,,,,,,
NK-gWANr8SMavSp8Qj5pRDzdx,OJSC “Machine-building plant ‘Mayak’”,Company,7719024042,7719024042,oао “машиностроительный завод ‘маяк’”,"oао ""машиностроительный завод 'маяк'""","oао машиностроительный завод ""маяк""","открытое акционерное общество ""машиностроительный завод ""маяк""",,,,,,,,,,,,,,,,,,,,
NK-eEnzbdoCvp2iqtBVpEjMcd,Razdolye Implementation Center LLC,Company,7325078348,7325078348,oбщество с ограниченной ответственностью “внедренческий центр ‘раздолье’”,oбщество c ограниченной ответственностью “внедренческий центр ‘раздолье’”,"oбщество с ограниченной ответственностью ""внедренческий центр ""раздолье""""","общество с ограниченной ответственностью ""внедренческий центр ""раздолье""",,,,,,,,,,,,,,,,,,,,
NK-KMDgdPDvQBP93igxVjfAL4,JSC DESIGN OFFICE FOR SHIPBUILDING VYMPEL,Company,5260001206,5260153985,"открытое акционерное общество конструкторское бюро по проектированию судов ""вымпел""",ао конструкторское бюро по проектированию судов “вымпел”,"акционерное общество конструкторское бюро по проектированию судов ""вымпел""",ао кб “вымпел”,,,,,,,,,,,,,,,,,,,,
NK-NSWaHofFyh2DLnmr5aaemb,AKTSIONERNOE OBSHCHESTVO NAUCHNO-PROIZVODSTVENNOE OBEDINENIE OPTIKA,Company,7715909132,7715909132,ао нпо “электромашина”,"открытое акционерное общество ""научно-производственное объединение ""электромашина""","акционерное общество ""научно-производственное объединение ""электромашина""",ао нпо “электромашина”»,,,,,,,,,,,,,,,,,,,,
NK-UMNLSMukyt3pM6cuoZmyJg,PJSC TransContainer,Company,7708591995,7708591995,пао трансконтейнер,"публичное акционерное общество ""трансконтейнер""",публичное акционерное общество «центр по перевозке грузов в контейнерах «трансконтейнер»,"публичное акционерное общество ""центр по перевозке грузов в контейнерах ""трансконтейнер""",,,,,,,,,,,,,,,,,,,,
NK-3FchjcEQe5iEZ7WPfeek9F,Independent Insurance Group Ltd,Company,7716227728,7716227728,общество с ограниченной ответственностью страховая компания независимая страховая группа,"общество с ограниченной ответственностью ""страховая компания ""независимая страховая группа""","общество с ограниченной ответственностью страховая компания ""независимая страховая группа""",общество с ограниченной отвтетсвенностью страховая компания «независимая страховая группа»,,,,,,,,,,,,,,,,,,,,
NK-jXw5vADknEL8giAETMmCjW,JSC FNPTS NNIIRT,Company,5261064047,5261064047,акционерное общество «федеральный научно-производственный центр «нижегородский научно-исследовательский институт радиотехники»,"открытое акционерное общество ""федеральный научно-производственный центр ""нижегородский научно-исследовательский институт радиотехники""",«федеральный научно-производственный центр «нижегородский научно-исследовательский институт радиотехники»,"акционерное общество ""федеральный научно-производственный центр ""нижегородский научно-исследовательский институт радиотехники""",,,,,,,,,,,,,,,,,,,,
NK-g4usduCQ7xBcSH8qyxoQvj,Joint Stock Company Votkinskiy Zavod,Company,1828020110,1828020110,ао ‘воткинский завод’,акционерное общество воткинский завод,воткинский завод,"акционерное общество ""воткинский завод""",,,,,,,,,,,,,,,,,,,,
NK-hXdrvs5oW4V7qS3figTTcK,Joint Stock Company “Scientific and Technical Center ‘ATLAS’”,Company,,9715389053,"акционерное общество ""научно-технический центр ""атлас""",акционерное общество “научно технический центр 'атлас'”,ационерное общество «научно-технический центр «атлас»,акционерное общество “научно-технический центр ‘атлас’”,"акционерное общество ""научно-технический центр “атлас”",,,,,,,,,,,,,,,,,,,
NK-6QHrXW4kTsHa9APM2JzPkC,Crimea Patriot Centre,Company,9102187450,9102187450,государственное бюджетное образовательное учреждение дополнительного образования республики крым крымпатриотцентр,региональный центр по подготовке к военной службе и военно патриотическому воспитанию.,"государственное бюджетное образовательное учреждение дополнительного образования республики крым ""региональный центр по подготовке к военной службе и военно-патриотическому воспитанию""",гбоу до рк “крымпатриотцентр”,,,,,,,,,,,,,,,,,,,,
NK-LvC3N6Xf3saRi3U74MhmxG,Grupo de Empresas FORSS,Company,,7806338550,группа компаний форсс,"общество с ограниченной ответственностью ""форсс марин""","общество с ограниченной ответственностью ""группа компаний ""форс""","общество с ограниченной ответственностью ""смарт марин""",группа компаний форсс; ооо фт; форсс марин; ооо смарт марин; ооо форсс технологии,,,,,,,,,,,,,,,,,,,
NK-FvYujPQbVav296gzaTpFDk,United Shipbuilding Corporation JSC Aysberg Central Design Building,Company,7801005606,7801573983,"акционерное общество ""цкб ""оск-айсберг""",ао цкб айсберг,"акционерное общество ""центральное конструкторское бюро ""айсберг""",акционерное общество «цкб «оск-айсберг»,,,,,,,,,,,,,,,,,,,,
NK-Z68qaJu9YgLxocAoYS6mLC,Lipetsk Mechanical Plant LLC,Company,4824096058,4824096058,ооо липецкий механический завод: лмз,ооо лысьвенский механический завод,"общество с ограниченной ответственностью ""липецкий механический завод""",ooo липецкий механический завод,,,,,,,,,,,,,,,,,,,,
NK-B3DngVxgHkHb3oQKMqwmXt,Open Joint Stock Company TV and Radio Company of the Armed Forces of the Russian Federation “Zvezda”,Company,,7717653542,открытое акционерное общество “телерадиокомпания вооруженных сил российской федерации ‘звезда’”,"открытое акционерное общество ""телерадиокомпания вооруженных сил российской федерации ""звезда"", оао ""трк вс рф ""звезда""","открытое акционерное общество ""телерадиокомпания вооруженных сил российской федерации ""звезда""","открытое акционерное общество ""телерадиокомпания вооруженных сил российской федерации ‘звезда’""",телерадиокомпания вооруженных сил российской федерации «звезда»,,,,,,,,,,,,,,,,,,,
NK-QDAiK8Qdwc3TvnU5KP93fN,Yaroslavl Shipbuilding Factory,Company,,7601001080,публичное акционерное общество ярославский судостроительный завод,ярославский судостроительный завод,пао ярославский судостроительный завод,"публичное акционерное общество ""ярославский судостроительный завод""",публичное акционерное общество «ярославский судостроительный завод»,,,,,,,,,,,,,,,,,,,
NK-dJStg3PcqGBNTczf2SN84n,MMZ Avangard,Company,7743065177,7743065177,"акционерное общество ""московский машиностоительный завод ""авангард""","открытое акционерное общество ""московский машиностроительный завод ""авангард""","акционерное общество ""московский машиностроительный завод ""авангард""","ао; акционерное общество ""московский машиностроительный завод ""авангард""",,,,,,,,,,,,,,,,,,,,
NK-WxftW3Bgif7M2bF9NvrKLo,Joint Stock Company Plasma,Company,6230005886,6230005886,акционерное общество “научно- исследовательский институт газоразрядных приборов ‘плазма’”,"акционерное общество ""научно-исследовательский институт газоразрядных приборов ""плазма""","открытое акционерное общество ""научно-исследовательский институт газоразрядных приборов ""плазма""",акционерное общество “научно-исследовательский институт газоразрядных приборов ‘плазма’”,,,,,,,,,,,,,,,,,,,,
NK-Vm4YBDsh8y2XP8sQ3vXJDs,Joint Stock Company 103 Arsenal,Company,7524015624,7524002142,aкционерное общество „103 бронетанковый ремонтный завод“,"открытое акционерное общество ""103 бронетанковый ремонтный завод""",aкционерное общество “103 бронетанковый ремонтный завод”,"акционерное общество ""103 бронетанковый ремонтный завод""",,,,,,,,,,,,,,,,,,,,
NK-LJacewiZB2aT6kJHMEEj8j,PUBLIC JOINT STOCK COMPANY SCIENTIFIC AND PRODUCTION ASSOCIATION ALMAZ NAMED AFTER ACADEMICIAN A.A. RASPLETIN,Company,7712040285,7712040285,"открытое акционерное общество ""головное системное конструкторское бюро концерна пво ""алмаз-антей"" имени академика а.а. расплетина""","открытое акционерное общество ""научно-производственное объединение ""алмаз"" им.академика а.а.расплетина","открытое акционерное общество ""головное системное конструкторское бюро концерна пво ""алмаз-антей"" имени академика а.а расплетина""",,,,,,,,,,,,,,,,,,,,,
NK-aYrdWTicmp33Qf9KXX4AN7,JSC NPO High Precision Systems,Company,7704721192,7704721192,ао нпо высокоточные комплексы,"акционерное общество ""нпо ""высокоточные комплексы""",холдинг ао «нпо «высокоточные комплексы»,,,,,,,,,,,,,,,,,,,,,
NK-CPQhFVNE5MKPXFY6XCQeZn,Joint Stock Company Vyatskoye Mashinostroitelnoye Predpriyatiye Avitek,Company,4345047310,4345399055,"открытое акционерное общество ""вятское машиностроительное предприятие ""авитэк""","открытое акционерное общество ""вятское машиностроительное предприятие ""авиатек""","открытое акционерное общество ""вятское машиностроительное предприятие ""авитек""",,,,,,,,,,,,,,,,,,,,,
NK-dh9zXmkWQm2FbtW88BmtgE,Limited Liability Company “Commercial Vehicles – GAZ Group”,Company,,5256051148,"общество с ограниченной ответственностью ""коммерческие автомобили – группа газ""","общество с ограниченной ответственностью ""торговый дом ""русские машины""","общество с ограниченной ответственностью ""коммерческие автомобили - группа газ""",общество с ограниченной ответственностью “коммерческие автомобили – группа газ”,,,,,,,,,,,,,,,,,,,,
NK-VnP9UpE6vowtqJmxBuFdVQ,UEC-Saturn,Company,7610052644,5508000137,"открытое акционерное общество"" научно-производственное объединение ""сатурн""","открытое акционерное общество ""научно-производственное объединение ""сатурн""","открытое акционерное общество ""научно - производственное объединение ""сатурн""",,,,,,,,,,,,,,,,,,,,,
NK-2CUomiD2azL8hqw8gituB4,Joint Stock Company Vologodsky Optiko Mekhanichesky Factory,Company,3525023010,3525023010,"открытое акционерное общество ""вологодский оптико-механический завод""","акционерное общество ""вологодский оптико-механический завод""",ao “вологодский оптико-механический завод”,,,,,,,,,,,,,,,,,,,,,
NK-gZmXc8b7JExdo5KSm7tzSZ,RADIOLOGICAL CHEMICAL AND BIOLOGICAL DEFENSE TROOPS OF THE MINISTRY OF DEFENSE OF THE RUSSIAN FEDERATION,Company,7704195013,7704195013,"управление начальника войск радиационной, химической и биологической защиты министерства обороны российской федерации (войсковая часть 52688)",войсковая часть 52688,войска радиационной химической и биологической защиты министерства обороны российской федерации,,,,,,,,,,,,,,,,,,,,,
NK-jZuyfV9NvmUZGaHUtQfAv7,JSC URAL PLANT OF TRANSPORT MECHANICAL ENGINEERING,Company,6659190900,6659190900,"акционерное общество ""уральский завод транспортного машиностроения""",ао “уральский завод транспортного машиностроения”,акционерное общество уральский завод транспортного машиностроения,,,,,,,,,,,,,,,,,,,,,
NK-35VtSxoKtrHVAwX3o9XAgx,JSC Omsk Transport Machine Factory Omsktransmash,Company,5505204171,5505204171,ao омский завод транспортного машиностроения “омсктрансмаш”,"акционерное общество ""омский завод транспортного машиностроения""",акционерное общество «омский завод транспортного машиностроения»,,,,,,,,,,,,,,,,,,,,,
NK-oZ8qvgNYddDmihkKAQuf9K,Federal State Enterprise Kazan State Gunpowder Plant,Company,1656025681,1656025681,"фкп “кгкпз”, федеральное казенное предприятие “казанский государственный казенный пороховой завод”","федеральное казенное предприятие ""казанский государственный казенный пороховой завод""",федеральное казенное предприятие “казанский государственный казенный пороховой завод”,,,,,,,,,,,,,,,,,,,,,
NK-eJp9n6RTzszKTZnnmaMzME,"Nizhnekamsk All-Steel Tyre Plant, LLC",Company,1651049488,1651073339,"общество с ограниченной ответственностью ""нижнекамский завод грузовых шин""",ооо нижнекамский завод грузовых шин,"общество с ограниченной ответственностью ""нижнекамский завод шин цмк""",,,,,,,,,,,,,,,,,,,,,
NK-SjzQhrMGg3RJHVxXQMKAoM,"Federal State Enterprise ""Avangard""",Company,0268005588,0268005588,"фкп “авангард”, стерлитамакский завод “авангард”",стерлитамакский завод “авангард”,стерлитамакский завод «авангард»,,,,,,,,,,,,,,,,,,,,,
NK-W9z3vYch5P9LxUSxXmkXrL,Limited Liability Company Sonatek,Company,5027153451,5027153451,общество c ограниченной ответственностью сонатек,общество с ограниченной ответственностью сонатек,"общество с ограниченной ответственностью ""сонатек""",,,,,,,,,,,,,,,,,,,,,
NK-ZANBHNfGVfhoZeZHiPTFfH,Public Joint Stock Company Vyborg Shipyard,Company,4704012874,4704012874,"публичное акционерное общество ""выборгский судостроительный завод""","открытое акционерное общество ""выборгский судостроительный завод""",пао выборгский судостроительный завод,,,,,,,,,,,,,,,,,,,,,
NK-QRwDBWGMrmDwjbQzjFdYFh,M Leasing LLC,Company,9701173086,9701173086,общество c oграниченной oтветственностью “м лизинг”,"общество с ограниченной ответственностью ""м лизинг""",общество с ограниченной ответственностью “м лизинг”,,,,,,,,,,,,,,,,,,,,,
NK-YNqaGR8aG3YeiaD2tEb23m,Research and Production Center BiznesAvtomatiki LLC,Company,7729652455,7729652455,научно- производственный центр “бизнесавтоматика”,научно-производственный центр “бизнесавтоматика”,"общество с ограниченной ответственностью ""научно-производственный центр ""бизнесавтоматика""",,,,,,,,,,,,,,,,,,,,,
NK-JJwnwSXk3YdBW2fdbKWAnP,JSC KRASNY GIDROPRESS,Company,,6154082903,акционерное общество красный гидропресс,красный гидропресс,"акционерное общество ""красный гидропресс""","открытое акционерное общество ""красный гидропресс""",,,,,,,,,,,,,,,,,,,,
NK-WxpNQ8x3eLy6eHut9kqwaq,Joint Stock Company Sredne-Nevsky Shipyard,Company,7817315385,7817315385,ао средне-невский судостроительный завод,акционерное общество «средне-невский судостроительный завод»,"акционерное общество ""средне-невский судостроительный завод""",,,,,,,,,,,,,,,,,,,,,
NK-PshKJdrdZEtV9yA7BdjyZb,Joint Stock Company Shipbuilding Plant Lotos,Company,3008003802,3008003802,"открытое акционерное общество ""судостроительный завод ""лотос""",ао судостроительный завод лотос,"акционерное общество ""судостроительный завод ""лотос""",,,,,,,,,,,,,,,,,,,,,
NK-PMFPBh753My5zQ3Uw3UKVk,JSC 163 Armor Repair Plant,Company,2340020470,2340020470,"акционерное общество ""163 бронетанковый ремонтный завод""",акционерное общество 163 бронетанковый ремонтный завод,ао “163 бронетанковый ремонтный завод”,,,,,,,,,,,,,,,,,,,,,
NK-c9CirADoJuh4J6MYumjpSM,"Tactical Missile Corporation, 711 Aircraft Repair Plant",Company,3604016369,3604016369,"акционерное общество ""711 авиационный ремонтный завод""","открытое акционерное общество ""711авиационный ремонтный завод """,711 авиационный ремонтный завод or 711 арз,,,,,,,,,,,,,,,,,,,,,
NK-C8whXir5CpbEcPiuUCBktS,Aktsionernoe Obshchestvo Verkhneufaleiskii Zavod Uralelement,Company,7402006277,7402006277,"акционерное общество ""верхнеуфалейский завод уралэлемент""","акционерное общество ""верхнеуфалейский завод ""уралэлемент""","открытое акционерное общество ""верхнеуфалейский завод ""уралэлемент""",,,,,,,,,,,,,,,,,,,,,
NK-5DwW2XYNW2RejATzHSxfvT,"Tactical Missile Company, NPO Lightning",Company,,7733028761,"открытое акционерное общество""научно-производственное объединение ""молния""","акционерное общество открытого типа ""нпо молния""","открытое акционерное общество ""научно-производственное объединение ""молния""","обособленное структурное подразделение открытого акционерного общества ""научно-производственное объединение ""молния"" ""асп автоматизированные информационные системы и технологии""",,,,,,,,,,,,,,,,,,,,
NK-EtLocPYFy3Reg5EfCYFiJR,Aktsionernoye Obshchestvo Dalnevostochnyy Tsentr Sudostroyeniya I Sudoremonta,Company,2536196045,2536196045,"открытое акционерное общество ""дальневосточный центр судостроения и судоремонта""","акционерное общество ""дальневосточный центр судостроения и судоремонта""",акционерное общество дальневосточный центр судостроения и судоремонта,,,,,,,,,,,,,,,,,,,,,
NK-SQnE7ob2U7aopmnWQm9NAX,JOINT STOCK COMPANY MILITARY-INDUSTRIAL CORPORATION NPO MASHINOSTROYENIA,Company,5012039795,5012039795,акционерное общество “военно-промышленная корпорация ‘научно- производственное объединение машиностроения’”,акционерное общество “военно-промышленная корпорация ‘научно-производственное объединение машиностроения’”,"акционерное общество ""военно-промышленная корпорация ""научно-производственное объединение машиностроения""",,,,,,,,,,,,,,,,,,,,,
NK-YrwAKqEtQYrHVJKogpvT5a,JSC NPO Elektromechaniki,Company,7415044181,7415044181,ао “научно-производственное объединение электромеханики”,"акционерное общество ""научно-производственное объединение электромеханики""",ао “научно- производственное объединение электромеханики”,,,,,,,,,,,,,,,,,,,,,
NK-DWTrxPbLmvLp7Lkb4Zck8v,"Bryansk Automobile Plant, JSC",Company,3255502838,3255502838,"акционерное общество ""брянский автомобильный завод""",ao ‘брянский автомобильный завод’,ao брянский автомобильный завод,,,,,,,,,,,,,,,,,,,,,
NK-dZPtv2GyEbUfTPcZAHaSxv,KOMSOMOLSK-ON-AMUR AVIATION PLANT,Company,2703019760,2703019760,комсомольский-на- амуре авиационный завод,"открытое акционерное общество ""комсомольское-на-амуре авиационное производственное объединение имени ю.а. гагарина""",комсомольский-на-амуре авиационный завод,,,,,,,,,,,,,,,,,,,,,
NK-XznRvgjAxsdunNFNsGzTBq,OPK Oboronprom,Company,7718218951,7718218951,«открытое акционерное общество «объединённая промышленная корпорация оборонпром»,"открытое акционерное общество ""объединенная промышленная корпорация ""оборонпром""","акционерное общество ""объединенная промышленная корпорация ""оборонпром""",,,,,,,,,,,,,,,,,,,,,
NK-ddDH8RgsuzE2DH2aDanJQE,JSC NPO MRTZ,Company,,7731018133,"акционерное общество ""московский радиотехнический завод""","акционерное общество ""научно-производственное объединение ""московский радиотехнический завод""","открытое акционерное общество ""научно-производственное объединение ""московский радиотехнический завод""","акционерное общество ""научно- производственное объединение ""московский радиотехнический завод""",,,,,,,,,,,,,,,,,,,,
NK-o9Hva42nwRbGA25tvuKMAQ,"Tactical Missile Corporation, Smolensk Aviation Plant",Company,6729001476,6729001476,ао “смоленский авиационный завод”,"акционерное общество ""смоленский авиационный завод""",ао «смоленский авиационный завод» (смаз),,,,,,,,,,,,,,,,,,,,,
NK-5n6S6EjozZmPSqvA4KAQcP,Tatshina LLC,Company,1644024517,1644024517,"общество с ограниченной ответственностью ""татшина""","общество с ограниченной ответственностью ""управляющая компания ""татнефть-нефтехим""",,,,,,,,,,,,,,,,,,,,,,
NK-YEbd6xsFPyKctnGpKsWW4u,"UEC-Perm Engines, JSC",Company,5904007312,5904007312,акционерное общество «одк-пермские моторы»,"акционерное общество ""одк-пермские моторы""",,,,,,,,,,,,,,,,,,,,,,
NK-jDEKpQS4hY6TUguPim7Dmc,Federal State Unitary Enterprise Central Order of the Red Banner Scientific Research Automobile and Automotive Engines Institute NAMI,Company,7711000924,7711000924,"федеральное государственное унитарное предприятие ""центральный ордена трудового красного знамени научно-исследовательский автомобильный и автомоторный институт ""нами""",федеральное государственное унитарное предприятие центральный ордена трудового красного знамени научно-исследовательский автомобильный и автомоторный институт нами,,,,,,,,,,,,,,,,,,,,,,
NK-L7cYmnG6Sx9UZ73qmnqqaR,The Alexander Gorchakov Public Diplomacy Fund,Company,,7709444369,фонд поддержки публичной дипломатии имени а.м. горчакова»,фонд поддержки публичной дипломатии имени а.м.горчакова,фонд общественной дипломатии александра горчакова,,,,,,,,,,,,,,,,,,,,,
NK-h56gmHNnP2TKTCEfNKRmAF,MAIN COMPUTATION CENTER OF THE GENERAL STAFF OF THE ARMED FORCES OF THE RUSSIAN FEDERATION,Organization,,,главный вычислительный центр генерального штаба (‘гвц’),главный вычислителный центр генералнього штаба вооруженных сил россиской федерации,главный вычислительный центр генерального штаба вооруженных сил российской федерации,"главный вычислительный центр генерального штаба („гвц"")",,,,,,,,,,,,,,,,,,,,
NK-5FFLYyLEsiDSphKBkDxeuP,LLC TD KAMA,Company,1651024807,1651024807,"общество с ограниченной отвественностью ""торговый дом ""кама""","общество с ограниченной ответственностью ""торговый дом ""кама""",,,,,,,,,,,,,,,,,,,,,,
NK-CpWe5xnGZ3Xvp9PQfmbPp4,"Tactical Missile Corporation, Azov Optical and Mechanical Plant",Company,6140022069,6140022069,"акционерное общество ""азовский оптико-механический завод""",азовский оптико-механический завод,,,,,,,,,,,,,,,,,,,,,,
NK-eXzFarXNX73XPhYRp9xM33,LIMITED LIABILITY COMPANY SHIPBUILDING COMPLEX ZVEZDA,Company,2503032517,2503032517,общество с ограниченной ответственностью судостроительный комплекс звезда,"общество с ограниченной ответственностью ""судостроительный комплекс ""звезда""",,,,,,,,,,,,,,,,,,,,,,
